Symptoms,Disease
nasal congestion,acute sinusitis
painful sinuses,acute sinusitis
sinus congestion,acute sinusitis
sore throat,acute sinusitis
anxiety and nervousness,adrenal adenoma
back weakness,adrenal adenoma
sharp abdominal pain,adrenal adenoma
shortness of breath,adrenal adenoma
diminished hearing,adrenal cancer
dizziness,adrenal cancer
abusing alcohol,alcohol abuse
anxiety and nervousness,alcohol abuse
depression,alcohol abuse
depressive or psychotic symptoms,alcohol abuse
drug abuse,alcohol abuse
hostile behavior,alcohol abuse
low self-esteem,alcohol abuse
smoking problems,alcohol abuse
vomiting blood,alcohol abuse
abnormal involuntary movements,alcohol intoxication
abusing alcohol,alcohol intoxication
anxiety and nervousness,alcohol intoxication
depression,alcohol intoxication
depressive or psychotic symptoms,alcohol intoxication
problems with movement,alcohol intoxication
sharp chest pain,alcohol intoxication
vomiting,alcohol intoxication
abnormal involuntary movements,alcohol withdrawal
abusing alcohol,alcohol withdrawal
antisocial behavior,alcohol withdrawal
delusions or hallucinations,alcohol withdrawal
depressive or psychotic symptoms,alcohol withdrawal
dizziness,alcohol withdrawal
fainting,alcohol withdrawal
seizures,alcohol withdrawal
sharp chest pain,alcohol withdrawal
vomiting,alcohol withdrawal
abnormal involuntary movements,alcoholic liver disease
abusing alcohol,alcoholic liver disease
diarrhea,alcoholic liver disease
peripheral edema,alcoholic liver disease
sharp abdominal pain,alcoholic liver disease
stomach bloating,alcoholic liver disease
weight gain,alcoholic liver disease
abnormal appearing skin,allergy
allergic reaction,allergy
cough,allergy
fluid retention,allergy
itchiness of eye,allergy
itching of skin,allergy
lip swelling,allergy
peripheral edema,allergy
skin rash,allergy
skin swelling,allergy
swollen eye,allergy
allergic reaction,allergy to animals
cough,allergy to animals
cross-eyed,allergy to animals
nasal congestion,allergy to animals
sore throat,allergy to animals
acne or pimples,alopecia
feeling ill,alopecia
irregular appearing scalp,alopecia
itching of skin,alopecia
skin growth,alopecia
skin rash,alopecia
skin swelling,alopecia
too little hair,alopecia
delusions or hallucinations,alzheimer disease
depression,alzheimer disease
depressive or psychotic symptoms,alzheimer disease
difficulty speaking,alzheimer disease
disturbance of memory,alzheimer disease
eye burns or stings,alzheimer disease
hostile behavior,alzheimer disease
irregular appearing scalp,alzheimer disease
cross-eyed,amblyopia
diminished vision,amblyopia
eye deviation,amblyopia
pain in eye,amblyopia
pus draining from ear,amblyopia
anxiety and nervousness,amyloidosis
shortness of breath,amyloidosis
wrist weakness,amyloidosis
abnormal involuntary movements,amyotrophic lateral sclerosis (als)
difficulty in swallowing,amyotrophic lateral sclerosis (als)
difficulty speaking,amyotrophic lateral sclerosis (als)
leg cramps or spasms,amyotrophic lateral sclerosis (als)
weakness,amyotrophic lateral sclerosis (als)
blood in stool,anal fissure
changes in stool appearance,anal fissure
constipation,anal fissure
lower body pain,anal fissure
pain of the anus,anal fissure
rectal bleeding,anal fissure
sharp abdominal pain,anal fissure
vaginal dryness,anal fissure
blood in stool,anal fistula
mass in scrotum,anal fistula
pain of the anus,anal fistula
rectal bleeding,anal fistula
changes in stool appearance,anemia
dizziness,anemia
fatigue,anemia
melena,anemia
nosebleed,anemia
shortness of breath,anemia
vomiting blood,anemia
weakness,anemia
ankle swelling,anemia due to chronic kidney disease
fatigue,anemia due to chronic kidney disease
peripheral edema,anemia due to chronic kidney disease
recent weight loss,anemia due to chronic kidney disease
shortness of breath,anemia due to chronic kidney disease
weakness,anemia due to chronic kidney disease
difficulty in swallowing,anemia due to malignancy
fatigue,anemia due to malignancy
flatulence,anemia due to malignancy
shortness of breath,anemia due to malignancy
dizziness,anemia of chronic disease
emotional symptoms,anemia of chronic disease
feeling ill,anemia of chronic disease
weakness,anemia of chronic disease
abnormal involuntary movements,anxiety
anxiety and nervousness,anxiety
depression,anxiety
depressive or psychotic symptoms,anxiety
fears and phobias,anxiety
headache,anxiety
increased heart rate,anxiety
insomnia,anxiety
irregular heartbeat,anxiety
palpitations,anxiety
sharp chest pain,anxiety
shortness of breath,anxiety
difficulty breathing,aortic valve disease
fainting,aortic valve disease
groin mass,aortic valve disease
irregular heartbeat,aortic valve disease
lymphedema,aortic valve disease
palpitations,aortic valve disease
peripheral edema,aortic valve disease
sharp chest pain,aortic valve disease
shortness of breath,aortic valve disease
fatigue,aplastic anemia
fever,aplastic anemia
lack of growth,aplastic anemia
nausea,aplastic anemia
slurring words,aplastic anemia
weakness,aplastic anemia
ache all over,arthritis of the hip
back pain,arthritis of the hip
groin pain,arthritis of the hip
hip pain,arthritis of the hip
hip stiffness or tightness,arthritis of the hip
joint pain,arthritis of the hip
knee pain,arthritis of the hip
leg pain,arthritis of the hip
low back pain,arthritis of the hip
lower body pain,arthritis of the hip
pelvic pain,arthritis of the hip
problems with movement,arthritis of the hip
fever,ascending cholangitis
jaundice,ascending cholangitis
retention of urine,ascending cholangitis
sharp abdominal pain,ascending cholangitis
shortness of breath,ascending cholangitis
knee lump or mass,aspergillosis
shortness of breath,aspergillosis
allergic reaction,asthma
chest tightness,asthma
coryza,asthma
cough,asthma
coughing up sputum,asthma
difficulty breathing,asthma
fever,asthma
nasal congestion,asthma
sharp chest pain,asthma
shortness of breath,asthma
wheezing,asthma
diminished vision,astigmatism
double vision,astigmatism
eye deviation,astigmatism
foreign body sensation in eye,astigmatism
lacrimation,astigmatism
pain in eye,astigmatism
spots or clouds in vision,astigmatism
symptoms of eye,astigmatism
cough,atelectasis
dizziness,atelectasis
headache,atelectasis
sharp chest pain,atelectasis
shortness of breath,atelectasis
sore throat,atelectasis
emotional symptoms,atonic bladder
impotence,atonic bladder
retention of urine,atonic bladder
suprapubic pain,atonic bladder
symptoms of bladder,atonic bladder
decreased heart rate,atrial fibrillation
dizziness,atrial fibrillation
fatigue,atrial fibrillation
increased heart rate,atrial fibrillation
irregular heartbeat,atrial fibrillation
palpitations,atrial fibrillation
sharp chest pain,atrial fibrillation
shortness of breath,atrial fibrillation
chest tightness,atrial flutter
frequent urination,atrial flutter
increased heart rate,atrial flutter
irregular heartbeat,atrial flutter
palpitations,atrial flutter
sharp chest pain,atrial flutter
shortness of breath,atrial flutter
swollen lymph nodes,atrial flutter
abnormal appearing skin,atrophic skin condition
acne or pimples,atrophic skin condition
lip swelling,atrophic skin condition
skin growth,atrophic skin condition
skin irritation,atrophic skin condition
skin lesion,atrophic skin condition
skin moles,atrophic skin condition
skin swelling,atrophic skin condition
wrinkles on skin,atrophic skin condition
blood in urine,atrophic vaginitis
frequent urination,atrophic vaginitis
involuntary urination,atrophic vaginitis
pain during intercourse,atrophic vaginitis
painful urination,atrophic vaginitis
suprapubic pain,atrophic vaginitis
vaginal discharge,atrophic vaginitis
vaginal itching,atrophic vaginitis
abnormal appearing skin,atrophy of the corpus cavernosum
bumps on penis,atrophy of the corpus cavernosum
frequent urination,atrophy of the corpus cavernosum
impotence,atrophy of the corpus cavernosum
skin growth,atrophy of the corpus cavernosum
antisocial behavior,attention deficit hyperactivity disorder (adhd)
anxiety and nervousness,attention deficit hyperactivity disorder (adhd)
depression,attention deficit hyperactivity disorder (adhd)
depressive or psychotic symptoms,attention deficit hyperactivity disorder (adhd)
drug abuse,attention deficit hyperactivity disorder (adhd)
hostile behavior,attention deficit hyperactivity disorder (adhd)
lack of growth,attention deficit hyperactivity disorder (adhd)
restlessness,attention deficit hyperactivity disorder (adhd)
temper problems,attention deficit hyperactivity disorder (adhd)
antisocial behavior,autism
constipation,autism
depressive or psychotic symptoms,autism
difficulty speaking,autism
hostile behavior,autism
lack of growth,autism
long menstrual periods,autism
seizures,autism
temper problems,autism
decreased appetite,autonomic nervous system disorder
difficulty in swallowing,autonomic nervous system disorder
dizziness,autonomic nervous system disorder
headache,autonomic nervous system disorder
leg pain,autonomic nervous system disorder
abnormal appearing skin,balanitis
cough,balanitis
diaper rash,balanitis
itching of skin,balanitis
painful urination,balanitis
penis pain,balanitis
penis redness,balanitis
skin rash,balanitis
suprapubic pain,balanitis
abnormal involuntary movements,bell palsy
diminished vision,bell palsy
facial pain,bell palsy
focal weakness,bell palsy
headache,bell palsy
loss of sensation,bell palsy
peripheral edema,bell palsy
symptoms of eye,bell palsy
symptoms of the face,bell palsy
weakness,bell palsy
blood in urine,benign kidney cyst
impotence,benign kidney cyst
involuntary urination,benign kidney cyst
low back pain,benign kidney cyst
sharp abdominal pain,benign kidney cyst
side pain,benign kidney cyst
vomiting,benign kidney cyst
dizziness,benign paroxysmal positional vertical (bppv)
fainting,benign paroxysmal positional vertical (bppv)
frontal headache,benign paroxysmal positional vertical (bppv)
headache,benign paroxysmal positional vertical (bppv)
irregular heartbeat,benign paroxysmal positional vertical (bppv)
nausea,benign paroxysmal positional vertical (bppv)
problems with movement,benign paroxysmal positional vertical (bppv)
vomiting,benign paroxysmal positional vertical (bppv)
weakness,benign paroxysmal positional vertical (bppv)
blood in urine,benign prostatic hyperplasia (bph)
excessive urination at night,benign prostatic hyperplasia (bph)
frequent urination,benign prostatic hyperplasia (bph)
hesitancy,benign prostatic hyperplasia (bph)
impotence,benign prostatic hyperplasia (bph)
involuntary urination,benign prostatic hyperplasia (bph)
low urine output,benign prostatic hyperplasia (bph)
pain in testicles,benign prostatic hyperplasia (bph)
retention of urine,benign prostatic hyperplasia (bph)
swelling of scrotum,benign prostatic hyperplasia (bph)
symptoms of bladder,benign prostatic hyperplasia (bph)
symptoms of prostate,benign prostatic hyperplasia (bph)
abusing alcohol,bipolar disorder
anxiety and nervousness,bipolar disorder
delusions or hallucinations,bipolar disorder
depression,bipolar disorder
depressive or psychotic symptoms,bipolar disorder
excessive anger,bipolar disorder
fears and phobias,bipolar disorder
insomnia,bipolar disorder
obsessions and compulsions,bipolar disorder
temper problems,bipolar disorder
bladder mass,bladder cancer
blood in urine,bladder cancer
excessive urination at night,bladder cancer
groin mass,bladder cancer
mass in scrotum,bladder cancer
retention of urine,bladder cancer
symptoms of bladder,bladder cancer
blood in urine,bladder disorder
frequent urination,bladder disorder
involuntary urination,bladder disorder
lower abdominal pain,bladder disorder
painful urination,bladder disorder
retention of urine,bladder disorder
sharp abdominal pain,bladder disorder
suprapubic pain,bladder disorder
symptoms of bladder,bladder disorder
diminished vision,blepharitis
eye burns or stings,blepharitis
eye redness,blepharitis
eyelid swelling,blepharitis
itchiness of eye,blepharitis
lacrimation,blepharitis
pain in eye,blepharitis
spots or clouds in vision,blepharitis
swollen eye,blepharitis
symptoms of eye,blepharitis
white discharge from eye,blepharitis
abnormal movement of eyelid,blepharospasm
diminished vision,blepharospasm
headache,blepharospasm
low back weakness,blepharospasm
fatigue,bone cancer
leg pain,bone cancer
low back pain,bone cancer
peripheral edema,bone cancer
problems with movement,bone cancer
ankle pain,bone spur of the calcaneous
elbow pain,bone spur of the calcaneous
foot or toe pain,bone spur of the calcaneous
foot or toe swelling,bone spur of the calcaneous
leg pain,bone spur of the calcaneous
arm pain,brachial neuritis
back pain,brachial neuritis
elbow pain,brachial neuritis
hand or finger pain,brachial neuritis
hand or finger weakness,brachial neuritis
headache,brachial neuritis
loss of sensation,brachial neuritis
low back pain,brachial neuritis
neck pain,brachial neuritis
paresthesia,brachial neuritis
shoulder pain,brachial neuritis
decreased appetite,brain cancer
difficulty speaking,brain cancer
disturbance of memory,brain cancer
focal weakness,brain cancer
headache,brain cancer
seizures,brain cancer
slurring words,brain cancer
weakness,brain cancer
bleeding or discharge from nipple,breast cancer
hot flashes,breast cancer
lump or mass of breast,breast cancer
pain or soreness of breast,breast cancer
lump or mass of breast,breast cyst
pain or soreness of breast,breast cyst
skin growth,breast cyst
vaginal dryness,breast cyst
bleeding gums,broken tooth
difficulty eating,broken tooth
dry lips,broken tooth
facial pain,broken tooth
gum pain,broken tooth
lip swelling,broken tooth
toothache,broken tooth
arm pain,bursitis
arm stiffness or tightness,bursitis
arm swelling,bursitis
elbow pain,bursitis
elbow swelling,bursitis
hip pain,bursitis
knee pain,bursitis
knee swelling,bursitis
leg pain,bursitis
leg swelling,bursitis
shoulder pain,bursitis
shoulder stiffness or tightness,bursitis
depressive or psychotic symptoms,carbon monoxide poisoning
dizziness,carbon monoxide poisoning
emotional symptoms,carbon monoxide poisoning
headache,carbon monoxide poisoning
nausea,carbon monoxide poisoning
vomiting,carbon monoxide poisoning
arm swelling,cardiac arrest
decreased heart rate,cardiac arrest
difficulty breathing,cardiac arrest
irregular heartbeat,cardiac arrest
palpitations,cardiac arrest
sharp chest pain,cardiac arrest
shortness of breath,cardiac arrest
weakness,cardiac arrest
chest tightness,cardiomyopathy
decreased heart rate,cardiomyopathy
fatigue,cardiomyopathy
heartburn,cardiomyopathy
irregular heartbeat,cardiomyopathy
peripheral edema,cardiomyopathy
sharp chest pain,cardiomyopathy
shortness of breath,cardiomyopathy
arm pain,carpal tunnel syndrome
arm weakness,carpal tunnel syndrome
elbow pain,carpal tunnel syndrome
hand or finger pain,carpal tunnel syndrome
hand or finger stiffness or tightness,carpal tunnel syndrome
hand or finger swelling,carpal tunnel syndrome
loss of sensation,carpal tunnel syndrome
neck pain,carpal tunnel syndrome
paresthesia,carpal tunnel syndrome
wrist pain,carpal tunnel syndrome
wrist swelling,carpal tunnel syndrome
groin mass,cat scratch disease
itchy eyelid,cat scratch disease
skin swelling,cat scratch disease
abnormal movement of eyelid,cataract
blindness,cataract
cloudy eye,cataract
diminished vision,cataract
double vision,cataract
itchiness of eye,cataract
lacrimation,cataract
pain in eye,cataract
spots or clouds in vision,cataract
symptoms of eye,cataract
nausea,celiac disease
peripheral edema,celiac disease
regurgitation.1,celiac disease
sharp abdominal pain,celiac disease
sharp chest pain,celiac disease
vomiting,celiac disease
abnormal appearing skin,cellulitis or abscess of mouth
difficulty in swallowing,cellulitis or abscess of mouth
lip swelling,cellulitis or abscess of mouth
skin growth,cellulitis or abscess of mouth
sore throat,cellulitis or abscess of mouth
throat swelling,cellulitis or abscess of mouth
toothache,cellulitis or abscess of mouth
blood in urine,central atherosclerosis
fatigue,central atherosclerosis
irregular heartbeat,central atherosclerosis
shortness of breath,central atherosclerosis
blindness,central retinal artery or vein occlusion
diminished vision,central retinal artery or vein occlusion
foreign body sensation in eye,central retinal artery or vein occlusion
irregular heartbeat,central retinal artery or vein occlusion
pain in eye,central retinal artery or vein occlusion
symptoms of eye,central retinal artery or vein occlusion
blindness,cerebral palsy
cramps and spasms,cerebral palsy
infant feeding problem,cerebral palsy
lack of growth,cerebral palsy
problems with movement,cerebral palsy
seizures,cerebral palsy
heavy menstrual flow,cervical cancer
jaundice,cervical cancer
pelvic pain,cervical cancer
vaginal discharge,cervical cancer
vaginal itching,cervical cancer
vulvar irritation,cervical cancer
nausea,cervicitis
pain during pregnancy,cervicitis
painful urination,cervicitis
pelvic pain,cervicitis
sharp abdominal pain,cervicitis
suprapubic pain,cervicitis
vaginal discharge,cervicitis
vaginal itching,cervicitis
diminished vision,chalazion
eye redness,chalazion
eyelid swelling,chalazion
foreign body sensation in eye,chalazion
lacrimation,chalazion
mass on eyelid,chalazion
pain in eye,chalazion
skin growth,chalazion
swollen eye,chalazion
symptoms of eye,chalazion
abnormal appearing skin,chickenpox
cough,chickenpox
fever,chickenpox
itching of skin,chickenpox
pain in testicles,chickenpox
skin rash,chickenpox
lower abdominal pain,chlamydia
pelvic pain,chlamydia
sharp abdominal pain,chlamydia
vaginal discharge,chlamydia
vaginal itching,chlamydia
vaginal pain,chlamydia
back pain,cholecystitis
burning abdominal pain,cholecystitis
lower body pain,cholecystitis
nausea,cholecystitis
regurgitation.1,cholecystitis
sharp abdominal pain,cholecystitis
sharp chest pain,cholecystitis
side pain,cholecystitis
stomach bloating,cholecystitis
symptoms of the kidneys,cholecystitis
upper abdominal pain,cholecystitis
vomiting,cholecystitis
chills,choledocholithiasis
decreased appetite,choledocholithiasis
jaundice,choledocholithiasis
nausea,choledocholithiasis
sharp abdominal pain,choledocholithiasis
sharp chest pain,choledocholithiasis
side pain,choledocholithiasis
upper abdominal pain,choledocholithiasis
vomiting,choledocholithiasis
diminished hearing,cholesteatoma
muscle swelling,cholesteatoma
nasal congestion,cholesteatoma
pus draining from ear,cholesteatoma
bones are painful,chondromalacia of the patella
knee pain,chondromalacia of the patella
knee swelling,chondromalacia of the patella
knee weakness,chondromalacia of the patella
leg pain,chondromalacia of the patella
problems with movement,chondromalacia of the patella
diminished vision,chorioretinitis
double vision,chorioretinitis
muscle swelling,chorioretinitis
pain in eye,chorioretinitis
spots or clouds in vision,chorioretinitis
blood in stool,chronic constipation
burning abdominal pain,chronic constipation
changes in stool appearance,chronic constipation
constipation,chronic constipation
lower abdominal pain,chronic constipation
nausea,chronic constipation
pain of the anus,chronic constipation
rectal bleeding,chronic constipation
retention of urine,chronic constipation
sharp abdominal pain,chronic constipation
vomiting,chronic constipation
diminished vision,chronic glaucoma
eye burns or stings,chronic glaucoma
foreign body sensation in eye,chronic glaucoma
itchiness of eye,chronic glaucoma
lacrimation,chronic glaucoma
mass on eyelid,chronic glaucoma
pain in eye,chronic glaucoma
spots or clouds in vision,chronic glaucoma
symptoms of eye,chronic glaucoma
white discharge from eye,chronic glaucoma
dizziness,chronic inflammatory demyelinating polyneuropathy (cidp)
loss of sensation,chronic inflammatory demyelinating polyneuropathy (cidp)
problems with movement,chronic inflammatory demyelinating polyneuropathy (cidp)
weakness,chronic inflammatory demyelinating polyneuropathy (cidp)
fatigue,chronic kidney disease
feeling cold,chronic kidney disease
peripheral edema,chronic kidney disease
shortness of breath,chronic kidney disease
symptoms of the kidneys,chronic kidney disease
back pain,chronic knee pain
hip pain,chronic knee pain
joint pain,chronic knee pain
knee pain,chronic knee pain
knee stiffness or tightness,chronic knee pain
knee swelling,chronic knee pain
knee weakness,chronic knee pain
leg pain,chronic knee pain
leg swelling,chronic knee pain
chest tightness,chronic obstructive pulmonary disease (copd)
congestion in chest,chronic obstructive pulmonary disease (copd)
coryza,chronic obstructive pulmonary disease (copd)
cough,chronic obstructive pulmonary disease (copd)
coughing up sputum,chronic obstructive pulmonary disease (copd)
fever,chronic obstructive pulmonary disease (copd)
nasal congestion,chronic obstructive pulmonary disease (copd)
sharp chest pain,chronic obstructive pulmonary disease (copd)
shortness of breath,chronic obstructive pulmonary disease (copd)
sore throat,chronic obstructive pulmonary disease (copd)
wheezing,chronic obstructive pulmonary disease (copd)
allergic reaction,chronic otitis media
cough,chronic otitis media
ear pain,chronic otitis media
fever,chronic otitis media
fluid in ear,chronic otitis media
nasal congestion,chronic otitis media
painful sinuses,chronic otitis media
plugged feeling in ear,chronic otitis media
pulling at ears,chronic otitis media
redness in ear,chronic otitis media
ache all over,chronic pain disorder
back pain,chronic pain disorder
headache,chronic pain disorder
hip pain,chronic pain disorder
knee pain,chronic pain disorder
leg pain,chronic pain disorder
low back pain,chronic pain disorder
pelvic pain,chronic pain disorder
sharp abdominal pain,chronic pain disorder
shoulder pain,chronic pain disorder
chest tightness,chronic rheumatic fever
dizziness,chronic rheumatic fever
increased heart rate,chronic rheumatic fever
palpitations,chronic rheumatic fever
sharp chest pain,chronic rheumatic fever
shortness of breath,chronic rheumatic fever
throat feels tight,chronic rheumatic fever
congestion in chest,chronic sinusitis
cough,chronic sinusitis
ear pain,chronic sinusitis
facial pain,chronic sinusitis
fever,chronic sinusitis
frontal headache,chronic sinusitis
headache,chronic sinusitis
painful sinuses,chronic sinusitis
sinus congestion,chronic sinusitis
sore throat,chronic sinusitis
skin lesion,chronic ulcer
skin pain,chronic ulcer
abdominal distention,cirrhosis
blood in stool,cirrhosis
peripheral edema,cirrhosis
regurgitation,cirrhosis
regurgitation.1,cirrhosis
sharp abdominal pain,cirrhosis
shortness of breath,cirrhosis
upper abdominal pain,cirrhosis
vomiting blood,cirrhosis
blood in urine,coagulation (bleeding) disorder
eye redness,coagulation (bleeding) disorder
knee swelling,coagulation (bleeding) disorder
leg pain,coagulation (bleeding) disorder
melena,coagulation (bleeding) disorder
lip sore,cold sore
lip swelling,cold sore
mouth ulcer,cold sore
skin rash,cold sore
skin swelling,cold sore
sore throat,cold sore
vaginal itching,cold sore
blood in stool,colonic polyp
diarrhea,colonic polyp
flatulence,colonic polyp
heartburn,colonic polyp
pain of the anus,colonic polyp
rectal bleeding,colonic polyp
sharp abdominal pain,colonic polyp
upper abdominal pain,colonic polyp
chills,common cold
coryza,common cold
cough,common cold
ear pain,common cold
fever,common cold
flu-like syndrome,common cold
headache,common cold
nasal congestion,common cold
sore throat,common cold
vomiting,common cold
wheezing,common cold
abnormal involuntary movements,complex regional pain syndrome
ache all over,complex regional pain syndrome
arm pain,complex regional pain syndrome
back pain,complex regional pain syndrome
foot or toe pain,complex regional pain syndrome
hand or finger pain,complex regional pain syndrome
leg pain,complex regional pain syndrome
loss of sensation,complex regional pain syndrome
low back pain,complex regional pain syndrome
neck pain,complex regional pain syndrome
paresthesia,complex regional pain syndrome
problems with movement,complex regional pain syndrome
back pain,concussion
difficulty speaking,concussion
disturbance of memory,concussion
dizziness,concussion
double vision,concussion
facial pain,concussion
headache,concussion
nausea,concussion
neck pain,concussion
rib pain,concussion
sleepiness,concussion
vomiting,concussion
difficulty speaking,conductive hearing loss
diminished hearing,conductive hearing loss
dizziness,conductive hearing loss
ear pain,conductive hearing loss
fluid in ear,conductive hearing loss
hoarse voice,conductive hearing loss
low self-esteem,conductive hearing loss
plugged feeling in ear,conductive hearing loss
redness in ear,conductive hearing loss
ringing in ear,conductive hearing loss
arm swelling,congenital heart defect
hand or finger stiffness or tightness,congenital heart defect
lack of growth,congenital heart defect
sharp chest pain,congenital heart defect
diminished hearing,congenital malformation syndrome
gum pain,congenital malformation syndrome
lack of growth,congenital malformation syndrome
seizures,congenital malformation syndrome
allergic reaction,conjunctivitis due to allergy
cough,conjunctivitis due to allergy
diminished vision,conjunctivitis due to allergy
eye burns or stings,conjunctivitis due to allergy
eye redness,conjunctivitis due to allergy
itchiness of eye,conjunctivitis due to allergy
lacrimation,conjunctivitis due to allergy
nasal congestion,conjunctivitis due to allergy
pain in eye,conjunctivitis due to allergy
sneezing,conjunctivitis due to allergy
swollen eye,conjunctivitis due to allergy
symptoms of eye,conjunctivitis due to allergy
abnormal appearing skin,conjunctivitis due to bacteria
cough,conjunctivitis due to bacteria
eye redness,conjunctivitis due to bacteria
fever,conjunctivitis due to bacteria
nasal congestion,conjunctivitis due to bacteria
sore throat,conjunctivitis due to bacteria
difficulty in swallowing,connective tissue disorder
feeling ill,connective tissue disorder
joint pain,connective tissue disorder
abnormal appearing skin,contact dermatitis
acne or pimples,contact dermatitis
allergic reaction,contact dermatitis
itching of skin,contact dermatitis
"skin dryness, peeling, scaliness, or roughness",contact dermatitis
skin irritation,contact dermatitis
skin lesion,contact dermatitis
skin moles,contact dermatitis
skin rash,contact dermatitis
skin swelling,contact dermatitis
swollen eye,contact dermatitis
anxiety and nervousness,conversion disorder
cough,conversion disorder
depression,conversion disorder
seizures,conversion disorder
diminished vision,cornea infection
eye burns or stings,cornea infection
eye redness,cornea infection
foreign body sensation in eye,cornea infection
itchiness of eye,cornea infection
lacrimation,cornea infection
lip swelling,cornea infection
pain in eye,cornea infection
spots or clouds in vision,cornea infection
swollen eye,cornea infection
symptoms of eye,cornea infection
diminished vision,corneal abrasion
eye redness,corneal abrasion
eyelid swelling,corneal abrasion
foreign body sensation in eye,corneal abrasion
